Method	Dataset	Metric	Value	Set
Bepipred 3.0	O. volvulus	Accuracy	0.501469970600588	Holdout
Bepipred 3.0	B. pertussis	AUC	0.635291499777481	Holdout
Bepipred 3.0	B. pertussis	F1	0.777777777777778	Holdout
Bepipred 3.0	B. pertussis	MCC	-0.00846625840543454	Holdout
Bepipred 3.0	B. pertussis	PPV	0.716535433070866	Holdout
Bepipred 3.0	B. pertussis	NPV	0.272727272727273	Holdout
Bepipred 3.0	B. pertussis	Sensitivity	0.850467289719626	Holdout
Bepipred 3.0	B. pertussis	Specificity	0.142857142857143	Holdout
Bepipred 3.0	B. pertussis	Balanced accuracy	0.496662216288384	Holdout
Bepipred 3.0	B. pertussis	Accuracy	0.651006711409396	Holdout
Bepipred 3.0	Corynebacterium	AUC	0.647839506172839	Holdout
Bepipred 3.0	Corynebacterium	F1	0.303030303030303	Holdout
Bepipred 3.0	Corynebacterium	MCC	0.247059688071247	Holdout
Bepipred 3.0	Corynebacterium	PPV	0.833333333333333	Holdout
Bepipred 3.0	Corynebacterium	NPV	0.568627450980392	Holdout
Bepipred 3.0	Corynebacterium	Sensitivity	0.185185185185185	Holdout
Bepipred 3.0	Corynebacterium	Specificity	0.966666666666667	Holdout
Bepipred 3.0	Corynebacterium	Balanced accuracy	0.575925925925926	Holdout
Bepipred 3.0	Corynebacterium	Accuracy	0.596491228070175	Holdout
Bepipred 3.0	E. coli	AUC	0.399582728592163	Holdout
Bepipred 3.0	E. coli	F1	0.375286041189931	Holdout
Bepipred 3.0	E. coli	MCC	-0.135734686005636	Holdout
Bepipred 3.0	E. coli	PPV	0.656	Holdout
Bepipred 3.0	E. coli	NPV	0.215017064846416	Holdout
Bepipred 3.0	E. coli	Sensitivity	0.262820512820513	Holdout
Bepipred 3.0	E. coli	Specificity	0.594339622641509	Holdout
Bepipred 3.0	E. coli	Balanced accuracy	0.428580067731011	Holdout
Bepipred 3.0	E. coli	Accuracy	0.34688995215311	Holdout
Bepipred 3.0	Enterobacteriaceae	AUC	0.553897445115602	Holdout
Bepipred 3.0	Enterobacteriaceae	F1	0.434004474272931	Holdout
Bepipred 3.0	Enterobacteriaceae	MCC	0.0544340487954579	Holdout
Bepipred 3.0	Enterobacteriaceae	PPV	0.506527415143603	Holdout
Bepipred 3.0	Enterobacteriaceae	NPV	0.550354609929078	Holdout
Bepipred 3.0	Enterobacteriaceae	Sensitivity	0.379647749510763	Holdout
Bepipred 3.0	Enterobacteriaceae	Specificity	0.672443674176776	Holdout
Bepipred 3.0	Enterobacteriaceae	Balanced accuracy	0.52604571184377	Holdout
Bepipred 3.0	Enterobacteriaceae	Accuracy	0.534926470588235	Holdout
Bepipred 3.0	Lentivirus	AUC	0.580993330993331	Holdout
Bepipred 3.0	Lentivirus	F1	0.489795918367347	Holdout
Bepipred 3.0	Lentivirus	MCC	0.37561981149183	Holdout
Bepipred 3.0	Lentivirus	PPV	1	Holdout
Bepipred 3.0	Lentivirus	NPV	0.435028248587571	Holdout
Bepipred 3.0	Lentivirus	Sensitivity	0.324324324324324	Holdout
Bepipred 3.0	Lentivirus	Specificity	1	Holdout
Bepipred 3.0	Lentivirus	Balanced accuracy	0.662162162162162	Holdout
Bepipred 3.0	Lentivirus	Accuracy	0.555555555555556	Holdout
Bepipred 3.0	M. tuberculosis	AUC	0.555915917532433	Holdout
Bepipred 3.0	M. tuberculosis	F1	0.254310344827586	Holdout
Bepipred 3.0	M. tuberculosis	MCC	0.0291429905911864	Holdout
Bepipred 3.0	M. tuberculosis	PPV	0.552693208430913	Holdout
Bepipred 3.0	M. tuberculosis	NPV	0.487542955326461	Holdout
Bepipred 3.0	M. tuberculosis	Sensitivity	0.165150454863541	Holdout
Bepipred 3.0	M. tuberculosis	Specificity	0.855957767722474	Holdout
Bepipred 3.0	M. tuberculosis	Balanced accuracy	0.510554111293007	Holdout
Bepipred 3.0	M. tuberculosis	Accuracy	0.497640653357532	Holdout
Bepipred 3.0	Orthopoxvirus	AUC	0.727877789046653	Holdout
Bepipred 3.0	Orthopoxvirus	F1	0.492063492063492	Holdout
Bepipred 3.0	Orthopoxvirus	MCC	0.374947813936303	Holdout
Bepipred 3.0	Orthopoxvirus	PPV	0.455882352941177	Holdout
Bepipred 3.0	Orthopoxvirus	NPV	0.896946564885496	Holdout
Bepipred 3.0	Orthopoxvirus	Sensitivity	0.53448275862069	Holdout
Bepipred 3.0	Orthopoxvirus	Specificity	0.863970588235294	Holdout
Bepipred 3.0	Orthopoxvirus	Balanced accuracy	0.699226673427992	Holdout
Bepipred 3.0	Orthopoxvirus	Accuracy	0.806060606060606	Holdout
Bepipred 3.0	P. aeruginosa	AUC	0.960344182566405	Holdout
Bepipred 3.0	P. aeruginosa	F1	0	Holdout
Bepipred 3.0	P. aeruginosa	MCC	-0.257563713164464	Holdout
Bepipred 3.0	P. aeruginosa	PPV	0	Holdout
Bepipred 3.0	P. aeruginosa	NPV	0.27027027027027	Holdout
Bepipred 3.0	P. aeruginosa	Sensitivity	0	Holdout
Bepipred 3.0	P. aeruginosa	Specificity	0.909090909090909	Holdout
Bepipred 3.0	P. aeruginosa	Balanced accuracy	0.454545454545455	Holdout
Bepipred 3.0	P. aeruginosa	Accuracy	0.263157894736842	Holdout
Bepipred 3.0	P. falciparum	AUC	0.675086270310032	Holdout
Bepipred 3.0	P. falciparum	F1	0.372289156626506	Holdout
Bepipred 3.0	P. falciparum	MCC	0.118928306120425	Holdout
Bepipred 3.0	P. falciparum	PPV	0.735714285714286	Holdout
Bepipred 3.0	P. falciparum	NPV	0.405301820504631	Holdout
Bepipred 3.0	P. falciparum	Sensitivity	0.249193548387097	Holdout
Bepipred 3.0	P. falciparum	Specificity	0.851106639839034	Holdout
Bepipred 3.0	P. falciparum	Balanced accuracy	0.550150094113065	Holdout
Bepipred 3.0	P. falciparum	Accuracy	0.475195164945857	Holdout
Bepipred 3.0	SARS-Cov-2	AUC	0.569176483225863	Holdout
Bepipred 3.0	SARS-Cov-2	F1	0.135759960649287	Holdout
Bepipred 3.0	SARS-Cov-2	MCC	0.0110957279477823	Holdout
Bepipred 3.0	SARS-Cov-2	PPV	0.109785202863962	Holdout
Bepipred 3.0	SARS-Cov-2	NPV	0.899257855676615	Holdout
Bepipred 3.0	SARS-Cov-2	Sensitivity	0.177835051546392	Holdout
Bepipred 3.0	SARS-Cov-2	Specificity	0.835779277957147	Holdout
Bepipred 3.0	SARS-Cov-2	Balanced accuracy	0.506807164751769	Holdout
Bepipred 3.0	SARS-Cov-2	Accuracy	0.768511198945982	Holdout
Bepipred 3.0	S. mansoni	AUC	0.559654493977638	Holdout
Bepipred 3.0	S. mansoni	F1	0.366930917327293	Holdout
Bepipred 3.0	S. mansoni	MCC	0.126094507336244	Holdout
Bepipred 3.0	S. mansoni	PPV	0.378504672897196	Holdout
Bepipred 3.0	S. mansoni	NPV	0.75	Holdout
Bepipred 3.0	S. mansoni	Sensitivity	0.356043956043956	Holdout
Bepipred 3.0	S. mansoni	Specificity	0.767685589519651	Holdout
Bepipred 3.0	S. mansoni	Balanced accuracy	0.561864772781803	Holdout
Bepipred 3.0	S. mansoni	Accuracy	0.650625	Holdout
Bepipred 3.0	T. gondii	AUC	0.545588075291046	Holdout
Bepipred 3.0	T. gondii	F1	0.702830188679245	Holdout
Bepipred 3.0	T. gondii	MCC	-0.0697346581853435	Holdout
Bepipred 3.0	T. gondii	PPV	0.671171171171171	Holdout
Bepipred 3.0	T. gondii	NPV	0.253521126760563	Holdout
Bepipred 3.0	T. gondii	Sensitivity	0.737623762376238	Holdout
Bepipred 3.0	T. gondii	Specificity	0.197802197802198	Holdout
Bepipred 3.0	T. gondii	Balanced accuracy	0.467712980089218	Holdout
Bepipred 3.0	T. gondii	Accuracy	0.569965870307167	Holdout
Epidope	C. difficile	AUC	0.74390243902439	Holdout
Epidope	C. difficile	F1	0	Holdout
Epidope	C. difficile	MCC	0	Holdout
Epidope	C. difficile	PPV	0	Holdout
Epidope	C. difficile	NPV	0.906605922551253	Holdout
Epidope	C. difficile	Sensitivity	0	Holdout
Epidope	C. difficile	Specificity	1	Holdout
Epidope	C. difficile	Balanced accuracy	0.5	Holdout
Epidope	C. difficile	Accuracy	0.906605922551253	Holdout
Epidope	C. trachomatis	AUC	0.664815512048193	Holdout
Epidope	C. trachomatis	F1	0.311377245508982	Holdout
Epidope	C. trachomatis	MCC	0.136555066755716	Holdout
Epidope	C. trachomatis	PPV	0.666666666666667	Holdout
Epidope	C. trachomatis	NPV	0.522248243559719	Holdout
Epidope	C. trachomatis	Sensitivity	0.203125	Holdout
Epidope	C. trachomatis	Specificity	0.895582329317269	Holdout
Epidope	C. trachomatis	Balanced accuracy	0.549353664658635	Holdout
Epidope	C. trachomatis	Accuracy	0.544554455445545	Holdout
Epidope	Filoviridae	AUC	0.87725619612069	Holdout
Epidope	Filoviridae	F1	0.315789473684211	Holdout
Epidope	Filoviridae	MCC	0.239837648327769	Holdout
Epidope	Filoviridae	PPV	0.321428571428571	Holdout
Epidope	Filoviridae	NPV	0.922178988326848	Holdout
Epidope	Filoviridae	Sensitivity	0.310344827586207	Holdout
Epidope	Filoviridae	Specificity	0.92578125	Holdout
Epidope	Filoviridae	Balanced accuracy	0.618063038793103	Holdout
Epidope	Filoviridae	Accuracy	0.863157894736842	Holdout
Epidope	Human Gammaherpesvirus 4	AUC	0.617000955109838	Holdout
Epidope	Human Gammaherpesvirus 4	F1	0.244173140954495	Holdout
Epidope	Human Gammaherpesvirus 4	MCC	0.0683243058825099	Holdout
Epidope	Human Gammaherpesvirus 4	PPV	0.541871921182266	Holdout
Epidope	Human Gammaherpesvirus 4	NPV	0.558558558558559	Holdout
Epidope	Human Gammaherpesvirus 4	Sensitivity	0.157593123209169	Holdout
Epidope	Human Gammaherpesvirus 4	Specificity	0.888888888888889	Holdout
Epidope	Human Gammaherpesvirus 4	Balanced accuracy	0.523241006049029	Holdout
Epidope	Human Gammaherpesvirus 4	Accuracy	0.556351791530945	Holdout
Epidope	Influenza A	AUC	0.476834355141233	Holdout
Epidope	Influenza A	F1	0.206471494607088	Holdout
Epidope	Influenza A	MCC	0.0540287822349112	Holdout
Epidope	Influenza A	PPV	0.817073170731707	Holdout
Epidope	Influenza A	NPV	0.258160237388724	Holdout
Epidope	Influenza A	Sensitivity	0.118165784832451	Holdout
Epidope	Influenza A	Specificity	0.920634920634921	Holdout
Epidope	Influenza A	Balanced accuracy	0.519400352733686	Holdout
Epidope	Influenza A	Accuracy	0.318783068783069	Holdout
Epidope	Measles morbilivirus	AUC	0.501164215686275	Holdout
Epidope	Measles morbilivirus	F1	0.355731225296443	Holdout
Epidope	Measles morbilivirus	MCC	0.0792939898251419	Holdout
Epidope	Measles morbilivirus	PPV	0.542168674698795	Holdout
Epidope	Measles morbilivirus	NPV	0.551971326164875	Holdout
Epidope	Measles morbilivirus	Sensitivity	0.264705882352941	Holdout
Epidope	Measles morbilivirus	Specificity	0.802083333333333	Holdout
Epidope	Measles morbilivirus	Balanced accuracy	0.533394607843137	Holdout
Epidope	Measles morbilivirus	Accuracy	0.549723756906077	Holdout
Epidope	Mononegavirales	AUC	0.816635879379956	Holdout
Epidope	Mononegavirales	F1	0.499388004895961	Holdout
Epidope	Mononegavirales	MCC	0.335956163624814	Holdout
Epidope	Mononegavirales	PPV	0.645569620253165	Holdout
Epidope	Mononegavirales	NPV	0.741963509991312	Holdout
Epidope	Mononegavirales	Sensitivity	0.407185628742515	Holdout
Epidope	Mononegavirales	Specificity	0.884057971014493	Holdout
Epidope	Mononegavirales	Balanced accuracy	0.645621799878504	Holdout
Epidope	Mononegavirales	Accuracy	0.721199727334697	Holdout
Epidope	O. volvulus	AUC	0.49526826540893	Holdout
Epidope	O. volvulus	F1	0.0526315789473684	Holdout
Epidope	O. volvulus	MCC	-0.0551751230474301	Holdout
Epidope	O. volvulus	PPV	0.0799999999999999	Holdout
Epidope	O. volvulus	NPV	0.844514959202176	Holdout
Epidope	O. volvulus	Sensitivity	0.0392156862745098	Holdout
Epidope	O. volvulus	Specificity	0.920454545454545	Holdout
Epidope	O. volvulus	Balanced accuracy	0.479835115864528	Holdout
Epidope	O. volvulus	Accuracy	0.78832423351533	Holdout
Epidope	B. pertussis	AUC	0.641299510458389	Holdout
Epidope	B. pertussis	F1	0.287769784172662	Holdout
Epidope	B. pertussis	MCC	-0.108242674901111	Holdout
Epidope	B. pertussis	PPV	0.625	Holdout
Epidope	B. pertussis	NPV	0.256410256410256	Holdout
Epidope	B. pertussis	Sensitivity	0.186915887850467	Holdout
Epidope	B. pertussis	Specificity	0.714285714285714	Holdout
Epidope	B. pertussis	Balanced accuracy	0.450600801068091	Holdout
Epidope	B. pertussis	Accuracy	0.335570469798658	Holdout
Epidope	Corynebacterium	AUC	0.732716049382716	Holdout
Epidope	Corynebacterium	F1	0.285714285714286	Holdout
Epidope	Corynebacterium	MCC	0.308606699924184	Holdout
Epidope	Corynebacterium	PPV	1	Holdout
Epidope	Corynebacterium	NPV	0.571428571428572	Holdout
Epidope	Corynebacterium	Sensitivity	0.166666666666667	Holdout
Epidope	Corynebacterium	Specificity	1	Holdout
Epidope	Corynebacterium	Balanced accuracy	0.583333333333333	Holdout
Epidope	Corynebacterium	Accuracy	0.605263157894737	Holdout
Epidope	E. coli	AUC	0.803912675374939	Holdout
Epidope	E. coli	F1	0.340425531914894	Holdout
Epidope	E. coli	MCC	0.24783577202887	Holdout
Epidope	E. coli	PPV	1	Holdout
Epidope	E. coli	NPV	0.299435028248588	Holdout
Epidope	E. coli	Sensitivity	0.205128205128205	Holdout
Epidope	E. coli	Specificity	1	Holdout
Epidope	E. coli	Balanced accuracy	0.602564102564103	Holdout
Epidope	E. coli	Accuracy	0.406698564593301	Holdout
Epidope	Enterobacteriaceae	AUC	0.612710999264025	Holdout
Epidope	Enterobacteriaceae	F1	0.187713310580205	Holdout
Epidope	Enterobacteriaceae	MCC	0.143749929178558	Holdout
Epidope	Enterobacteriaceae	PPV	0.733333333333333	Holdout
Epidope	Enterobacteriaceae	NPV	0.549851924975321	Holdout
Epidope	Enterobacteriaceae	Sensitivity	0.107632093933464	Holdout
Epidope	Enterobacteriaceae	Specificity	0.965337954939341	Holdout
Epidope	Enterobacteriaceae	Balanced accuracy	0.536485024436403	Holdout
Epidope	Enterobacteriaceae	Accuracy	0.5625	Holdout
Epidope	Lentivirus	AUC	0.552474552474552	Holdout
Epidope	Lentivirus	F1	0.457399103139013	Holdout
Epidope	Lentivirus	MCC	0.0331191198082935	Holdout
Epidope	Lentivirus	PPV	0.68	Holdout
Epidope	Lentivirus	NPV	0.353333333333333	Holdout
Epidope	Lentivirus	Sensitivity	0.344594594594595	Holdout
Epidope	Lentivirus	Specificity	0.688311688311688	Holdout
Epidope	Lentivirus	Balanced accuracy	0.516453141453141	Holdout
Epidope	Lentivirus	Accuracy	0.462222222222222	Holdout
Epidope	M. tuberculosis	AUC	0.519060835293907	Holdout
Epidope	M. tuberculosis	F1	0.154963680387409	Holdout
Epidope	M. tuberculosis	MCC	0.0328444308474112	Holdout
Epidope	M. tuberculosis	PPV	0.573991031390135	Holdout
Epidope	M. tuberculosis	NPV	0.486176935229068	Holdout
Epidope	M. tuberculosis	Sensitivity	0.0895731280615815	Holdout
Epidope	M. tuberculosis	Specificity	0.928355957767723	Holdout
Epidope	M. tuberculosis	Balanced accuracy	0.508964542914652	Holdout
Epidope	M. tuberculosis	Accuracy	0.493284936479129	Holdout
Epidope	Orthopoxvirus	AUC	0.688197261663286	Holdout
Epidope	Orthopoxvirus	F1	0.350597609561753	Holdout
Epidope	Orthopoxvirus	MCC	0.162848910736643	Holdout
Epidope	Orthopoxvirus	PPV	0.227979274611399	Holdout
Epidope	Orthopoxvirus	NPV	0.897810218978102	Holdout
Epidope	Orthopoxvirus	Sensitivity	0.758620689655172	Holdout
Epidope	Orthopoxvirus	Specificity	0.452205882352941	Holdout
Epidope	Orthopoxvirus	Balanced accuracy	0.605413286004057	Holdout
Epidope	Orthopoxvirus	Accuracy	0.506060606060606	Holdout
Epidope	P. aeruginosa	AUC	0.873924429479985	Holdout
Epidope	P. aeruginosa	F1	0.116279069767442	Holdout
Epidope	P. aeruginosa	MCC	0.136705571151384	Holdout
Epidope	P. aeruginosa	PPV	1	Holdout
Epidope	P. aeruginosa	NPV	0.302752293577982	Holdout
Epidope	P. aeruginosa	Sensitivity	0.0617283950617284	Holdout
Epidope	P. aeruginosa	Specificity	1	Holdout
Epidope	P. aeruginosa	Balanced accuracy	0.530864197530864	Holdout
Epidope	P. aeruginosa	Accuracy	0.333333333333333	Holdout
Epidope	P. falciparum	AUC	0.602721706583588	Holdout
Epidope	P. falciparum	F1	0.431426985008329	Holdout
Epidope	P. falciparum	MCC	0.0881052919271374	Holdout
Epidope	P. falciparum	PPV	0.692513368983957	Holdout
Epidope	P. falciparum	NPV	0.402246402246402	Holdout
Epidope	P. falciparum	Sensitivity	0.313306451612903	Holdout
Epidope	P. falciparum	Specificity	0.768611670020121	Holdout
Epidope	P. falciparum	Balanced accuracy	0.540959060816512	Holdout
Epidope	P. falciparum	Accuracy	0.484260891463108	Holdout
Epidope	SARS-Cov-2	AUC	0.596568730539611	Holdout
Epidope	SARS-Cov-2	F1	0.261627906976744	Holdout
Epidope	SARS-Cov-2	MCC	0.169316106753455	Holdout
Epidope	SARS-Cov-2	PPV	0.238347457627119	Holdout
Epidope	SARS-Cov-2	NPV	0.917092988263617	Holdout
Epidope	SARS-Cov-2	Sensitivity	0.289948453608247	Holdout
Epidope	SARS-Cov-2	Specificity	0.894481948928676	Holdout
Epidope	SARS-Cov-2	Balanced accuracy	0.592215201268462	Holdout
Epidope	SARS-Cov-2	Accuracy	0.832674571805007	Holdout
Epidope	S. mansoni	AUC	0.671993857670714	Holdout
Epidope	S. mansoni	F1	0.369791666666667	Holdout
Epidope	S. mansoni	MCC	0.185075589179134	Holdout
Epidope	S. mansoni	PPV	0.453674121405751	Holdout
Epidope	S. mansoni	NPV	0.756798756798757	Holdout
Epidope	S. mansoni	Sensitivity	0.312087912087912	Holdout
Epidope	S. mansoni	Specificity	0.850655021834061	Holdout
Epidope	S. mansoni	Balanced accuracy	0.581371466960987	Holdout
Epidope	S. mansoni	Accuracy	0.6975	Holdout
Epidope	T. gondii	AUC	0.533511043412033	Holdout
Epidope	T. gondii	F1	0.29718875502008	Holdout
Epidope	T. gondii	MCC	0.0923963323439238	Holdout
Epidope	T. gondii	PPV	0.787234042553191	Holdout
Epidope	T. gondii	NPV	0.329268292682927	Holdout
Epidope	T. gondii	Sensitivity	0.183168316831683	Holdout
Epidope	T. gondii	Specificity	0.89010989010989	Holdout
Epidope	T. gondii	Balanced accuracy	0.536639103470787	Holdout
Epidope	T. gondii	Accuracy	0.402730375426621	Holdout
Epitope1D	C. difficile	AUC	0.459829635984802	Holdout
Epitope1D	C. difficile	F1	0.193181818181818	Holdout
Epitope1D	C. difficile	MCC	0.0853376378813374	Holdout
Epitope1D	C. difficile	PPV	0.109324758842444	Holdout
Epitope1D	C. difficile	NPV	0.9453125	Holdout
Epitope1D	C. difficile	Sensitivity	0.829268292682927	Holdout
Epitope1D	C. difficile	Specificity	0.304020100502513	Holdout
Epitope1D	C. difficile	Balanced accuracy	0.56664419659272	Holdout
Epitope1D	C. difficile	Accuracy	0.353075170842825	Holdout
Epitope1D	C. trachomatis	AUC	0.706725338855422	Holdout
Epitope1D	C. trachomatis	F1	0.373563218390805	Holdout
Epitope1D	C. trachomatis	MCC	0.188422023770674	Holdout
Epitope1D	C. trachomatis	PPV	0.706521739130435	Holdout
Epitope1D	C. trachomatis	NPV	0.537530266343826	Holdout
Epitope1D	C. trachomatis	Sensitivity	0.25390625	Holdout
Epitope1D	C. trachomatis	Specificity	0.891566265060241	Holdout
Epitope1D	C. trachomatis	Balanced accuracy	0.57273625753012	Holdout
Epitope1D	C. trachomatis	Accuracy	0.568316831683168	Holdout
Epitope1D	Filoviridae	AUC	0.856899919181034	Holdout
Epitope1D	Filoviridae	F1	0.455555555555555	Holdout
Epitope1D	Filoviridae	MCC	0.404445318122666	Holdout
Epitope1D	Filoviridae	PPV	0.336065573770492	Holdout
Epitope1D	Filoviridae	NPV	0.962053571428571	Holdout
Epitope1D	Filoviridae	Sensitivity	0.706896551724138	Holdout
Epitope1D	Filoviridae	Specificity	0.841796875	Holdout
Epitope1D	Filoviridae	Balanced accuracy	0.774346713362069	Holdout
Epitope1D	Filoviridae	Accuracy	0.828070175438597	Holdout
Epitope1D	Human Gammaherpesvirus 4	AUC	0.636109998527967	Holdout
Epitope1D	Human Gammaherpesvirus 4	F1	0.608310249307479	Holdout
Epitope1D	Human Gammaherpesvirus 4	MCC	0.133104209189421	Holdout
Epitope1D	Human Gammaherpesvirus 4	PPV	0.495934959349594	Holdout
Epitope1D	Human Gammaherpesvirus 4	NPV	0.651869158878505	Holdout
Epitope1D	Human Gammaherpesvirus 4	Sensitivity	0.786532951289398	Holdout
Epitope1D	Human Gammaherpesvirus 4	Specificity	0.333333333333333	Holdout
Epitope1D	Human Gammaherpesvirus 4	Balanced accuracy	0.559933142311366	Holdout
Epitope1D	Human Gammaherpesvirus 4	Accuracy	0.539413680781759	Holdout
Epitope1D	Influenza A	AUC	0.465645791924451	Holdout
Epitope1D	Influenza A	F1	0.497584541062802	Holdout
Epitope1D	Influenza A	MCC	0.0658567623663181	Holdout
Epitope1D	Influenza A	PPV	0.789272030651341	Holdout
Epitope1D	Influenza A	NPV	0.270707070707071	Holdout
Epitope1D	Influenza A	Sensitivity	0.36331569664903	Holdout
Epitope1D	Influenza A	Specificity	0.708994708994709	Holdout
Epitope1D	Influenza A	Balanced accuracy	0.536155202821869	Holdout
Epitope1D	Influenza A	Accuracy	0.44973544973545	Holdout
Epitope1D	Measles morbilivirus	AUC	0.616681985294118	Holdout
Epitope1D	Measles morbilivirus	F1	0.028169014084507	Holdout
Epitope1D	Measles morbilivirus	MCC	-0.294147349647395	Holdout
Epitope1D	Measles morbilivirus	PPV	0.0697674418604651	Holdout
Epitope1D	Measles morbilivirus	NPV	0.476489028213166	Holdout
Epitope1D	Measles morbilivirus	Sensitivity	0.0176470588235294	Holdout
Epitope1D	Measles morbilivirus	Specificity	0.791666666666667	Holdout
Epitope1D	Measles morbilivirus	Balanced accuracy	0.404656862745098	Holdout
Epitope1D	Measles morbilivirus	Accuracy	0.428176795580111	Holdout
Epitope1D	Mononegavirales	AUC	0.606526078278226	Holdout
Epitope1D	Mononegavirales	F1	0.494325346784363	Holdout
Epitope1D	Mononegavirales	MCC	0.346609070526652	Holdout
